the_geom,cartodb_id,objectid,fid_grocer,fid_groc_1,facilityid,fid_pov_ac,geoid,first_tota,first_unde,first_over,poparea,shape_leng,partpop,partunder1,partover18,partarea,arearatio,groceryacc,fid_wardpl,ward,name,shape_le_1,shape_ar_1,wrdprtarea,areartio2,partpop2,prtovr185,prtund185,percentund185,shapearea,shapelen
,23,14,12,-1,0,12,110010003003,1593,625,968,346801.680449,4194.66341515,1394,547,847,303521.556516,0.87520209,false,7,3,Ward 3,28342.1673132,28320779.7089,21683.59960938,0.0714401,100,61,39,0.38999999,21683.6397393125,1866.9079748486
,24,15,13,-1,0,13,110010003004,1842,169,1673,163748.957453,653.53418422,220,20,200,19584.5894084,0.11960131,false,7,3,Ward 3,28342.1673132,28320779.7089,19584.59960938,1,220,200,20,0.09090909,19584.5840679844,653.534166967606
,25,16,14,-1,0,14,110010004001,529,51,478,526776.815546,3136.10500776,299,29,270,297859.52948,0.56543781,false,7,3,Ward 3,28342.1673132,28320779.7089,297860,1,299,270,29,0.09698997,297859.543042141,3136.09807470854
,26,17,15,-1,0,15,110010004002,1049,127,922,870098.208364,7579.91861154,830,100,729,688122.583962,0.79085622,false,7,3,Ward 3,28342.1673132,28320779.7089,688116,1,830,729,100,0.12048193,688115.814428438,7580.00877922082
,27,18,16,-1,0,16,110010005011,1788,244,1544,575768.079074,4944.09279136,1722,235,1487,554545.465605,0.96314034,false,7,3,Ward 3,28342.1673132,28320779.7089,554545,1,1722,1487,235,0.13646922,554545.471201039,4944.09318590665
,28,19,17,-1,0,17,110010005012,1667,171,1496,186696.829714,3005.13358256,1667,171,1496,186696.825505,0.99999998,false,7,3,Ward 3,28342.1673132,28320779.7089,186696,1,1667,1496,171,0.10257948,186696.255374047,3004.98757062823
,29,20,18,-1,0,18,110010005021,1547,74,1473,405003.950724,3818.41403871,1547,74,1473,405003.95827,1.00000002,false,7,3,Ward 3,28342.1673132,28320779.7089,405004,1,1547,1473,74,0.04783452,405004.025757281,3818.40378552014
,30,21,19,-1,0,19,110010005022,1426,127,1299,146463.936731,2430.34215056,834,74,760,85648.099224,0.58477261,false,7,3,Ward 3,28342.1673132,28320779.7089,85648.1015625,1,834,760,74,0.08872902,85648.1087909297,2430.34236112625
,31,22,20,-1,0,20,110010006001,1220,61,1159,145664.2569,1654.23591791,261,13,248,31155.696127,0.21388704,false,7,3,Ward 3,28342.1673132,28320779.7089,31155.69921875,1,261,248,13,0.04980843,31155.7024658672,1654.23616892832
,32,23,21,-1,0,21,110010006002,852,135,717,451515.064333,2116.46956955,330,52,278,175026.694032,0.38764309,false,7,3,Ward 3,28342.1673132,28320779.7089,175027,1,330,278,52,0.15757576,175026.709352758,2116.46959662579
,33,24,22,-1,0,22,110010006003,753,162,591,169451.983771,285.48128142,15,3,12,3426.99304888,0.02022398,false,7,3,Ward 3,28342.1673132,28320779.7089,3426.98999023,1,15,12,3,0.2,3426.99517357031,285.481363495375
,34,25,23,-1,0,23,110010006004,1673,134,1539,576716.135677,3031.88012812,458,37,421,157739.397198,0.27351306,false,7,3,Ward 3,28342.1673132,28320779.7089,157739,1,458,421,37,0.08078603,157739.378206937,3031.87853186439
,35,26,25,-1,0,25,110010007012,1388,142,1246,79807.8799316,1223.24805215,672,69,603,38613.0398873,0.4838249,false,7,3,Ward 3,28342.1673132,28320779.7089,38613,1,672,603,69,0.10267857,38613.0438958672,1223.24777379582
,36,27,26,-1,0,26,110010007013,1614,228,1386,126685.754775,1522.62622675,1614,228,1386,126669.174969,0.99986913,false,7,3,Ward 3,28342.1673132,28320779.7089,126669,1,1614,1386,228,0.14126395,126669.178934117,1522.62619676537
,37,28,27,-1,0,27,110010007014,982,83,899,163510.115173,1228.09870261,489,41,448,81440.0356215,0.49807338,false,7,3,Ward 3,28342.1673132,28320779.7089,81440,1,489,448,41,0.08384458,81440.0372287344,1228.09877091184
,38,29,28,-1,0,28,110010007021,1409,226,1183,112113.891641,1707.96178468,1224,196,1028,97407.3569845,0.86882505,false,7,3,Ward 3,28342.1673132,28320779.7089,97407.3984375,1,1224,1028,196,0.16013072,97407.3718686719,1707.96178710946
,39,30,29,-1,0,30,110010007023,999,30,969,76972.7209868,727.89325165,268,8,260,20638.4001061,0.26812616,false,7,3,Ward 3,28342.1673132,28320779.7089,20638.40039063,1,268,260,8,0.02985075,20638.4100925234,727.893307143084
,40,31,30,-1,0,31,110010008011,2150,561,1589,148578.363766,2640.10788204,2090,545,1544,144411.213938,0.97195319,false,7,3,Ward 3,28342.1673132,28320779.7089,144411,1,2090,1544,545,0.26076555,144411.204871883,2640.10776386946
,41,32,31,-1,0,32,110010008012,815,0,815,613063.074731,7706.89311182,496,0,496,373036.787157,0.60848027,false,7,3,Ward 3,28342.1673132,28320779.7089,373037,1,496,496,0,0,373036.769103508,7706.89308124686
,42,62,61,-1,0,62,110010013021,2409,392,2017,315018.784678,3409.317758,1476,240,1236,193056.372381,0.61284083,false,7,3,Ward 3,28342.1673132,28320779.7089,193056,1,1476,1236,240,0.16260162,193056.386098031,3409.31800731041
,43,63,62,-1,0,63,110010013022,4549,476,4073,436926.123461,4683.99413529,1894,198,1696,181950.614201,0.41643336,false,7,3,Ward 3,28342.1673132,28320779.7089,181951,1,1894,1696,198,0.10454065,181950.621575031,4683.9940048451
,44,64,63,-1,0,64,110010013023,633,169,464,454975.366845,5293.2774482,492,131,360,353361.651079,0.77666106,false,7,3,Ward 3,28342.1673132,28320779.7089,353362,1,492,360,131,0.26626018,353361.652433875,5293.27799352882
,45,65,64,-1,0,65,110010014011,2209,295,1914,357388.018929,2207.7820868,937,125,812,151555.938782,0.42406553,false,7,3,Ward 3,28342.1673132,28320779.7089,40608.8984375,0.26794699,251,218,33,0.13147411,40608.8836564297,923.126061932449
,46,66,64,-1,0,65,110010014011,2209,295,1914,357388.018929,2207.7820868,937,125,812,151555.938782,0.42406553,false,8,4,Ward 4,25130.9943982,23314921.9682,110947,0.73205298,686,594,92,0.13411079,110947.016457937,1790.41190969204
,47,67,65,-1,0,66,110010014012,1160,63,1097,421038.075523,1301.66221346,128,7,121,46286.8336421,0.10993503,false,7,3,Ward 3,28342.1673132,28320779.7089,46282.5,1,128,121,7,0.0546875,46282.5032325625,1301.6626727371
,48,68,66,-1,0,67,110010014021,884,60,824,301763.381125,3166.21503645,884,60,824,301763.3848,1.00000001,false,8,4,Ward 4,25130.9943982,23314921.9682,301763,1,884,824,60,0.06787331,301763.411827008,3166.21490519733
,49,103,100,-1,0,102,110010021021,727,45,682,159727.325217,3170.42893908,727,45,682,159727.316181,0.99999994,false,8,4,Ward 4,25130.9943982,23314921.9682,159727,1,727,682,45,0.06189821,159727.324784773,3170.42900776911
,50,104,101,-1,0,103,110010021022,585,218,367,132436.382324,2028.75599679,516,192,324,116796.949757,0.88190985,false,8,4,Ward 4,25130.9943982,23314921.9682,116796,1,516,324,192,0.37209302,116796.153958305,2028.75597445332
,51,105,102,-1,0,104,110010021023,1121,213,908,98064.344005,1478.00523822,1121,213,908,98064.3527566,1.00000009,false,8,4,Ward 4,25130.9943982,23314921.9682,98064.3984375,1,1121,908,213,0.19000892,98064.3434778906,1478.00525998728
,52,106,103,-1,0,105,110010021024,1031,271,760,105930.362154,2265.57951422,1031,271,760,105930.351093,0.9999999,false,8,4,Ward 4,25130.9943982,23314921.9682,105930,1,1031,760,271,0.2628516,105930.368881203,2265.57943542131
,53,107,104,-1,0,106,110010021025,726,295,431,80319.7848831,1306.11774167,726,295,431,80319.781114,0.99999995,false,8,4,Ward 4,25130.9943982,23314921.9682,80319.796875,1,726,431,295,0.4063361,80319.7865873125,1306.11777375163
,54,108,105,-1,0,107,110010021026,697,180,517,117672.369645,1525.08053011,697,180,517,117672.374784,1.00000004,false,8,4,Ward 4,25130.9943982,23314921.9682,117672,1,697,517,180,0.25824964,117672.369198859,1525.07949835094
,55,109,106,-1,0,108,110010022011,1509,126,1383,144506.657278,1522.36573532,1509,126,1383,144506.655189,0.99999999,false,8,4,Ward 4,25130.9943982,23314921.9682,144507,1,1509,1383,126,0.08349901,144506.643696617,1522.36565492058
,56,110,107,-1,0,109,110010022012,1146,310,836,158570.163197,2218.62910933,584,158,426,80765.591092,0.50933662,false,8,4,Ward 4,25130.9943982,23314921.9682,80765.6015625,1,584,426,158,0.27054796,80765.6207692578,2218.62903803735
,57,111,108,-1,0,110,110010022013,1003,180,823,96290.4681411,1243.45951759,1003,180,823,96290.4638287,0.99999996,false,8,4,Ward 4,25130.9943982,23314921.9682,96290.5,1,1003,823,180,0.17946161,96290.4722164375,1243.45957052796
,58,112,109,-1,0,111,110010022021,1998,949,1049,491968.082115,2868.92115696,1998,949,1049,491968.079945,1,false,8,4,Ward 4,25130.9943982,23314921.9682,491958,1,1998,1049,949,0.47497496,491958.412435938,2868.84743223764
,59,113,110,-1,0,112,110010022022,1084,472,612,98143.0278286,1367.0338026,1084,472,612,98143.0294047,1.00000002,false,8,4,Ward 4,25130.9943982,23314921.9682,98143,1,1084,612,472,0.43542436,98143.0352675625,1367.03380586454
,60,114,111,-1,0,113,110010022023,892,325,567,104651.323957,1382.26197738,892,325,567,104651.330729,1.00000006,false,8,4,Ward 4,25130.9943982,23314921.9682,104652,1,892,567,325,0.36434978,104651.611649859,1382.24911062456
,61,115,112,-1,0,114,110010023011,1617,215,1402,169810.413532,1553.99569171,587,78,509,61604.186403,0.36278215,false,8,4,Ward 4,25130.9943982,23314921.9682,61603.8984375,1,587,509,78,0.13287905,61603.9455711641,1513.70368489071
,62,69,67,-1,0,68,110010014022,874,38,836,333635.226526,5107.77095992,867,38,829,330828.451749,0.99158729,false,7,3,Ward 3,28342.1673132,28320779.7089,59443.5,0.179681,156,149,7,0.0448718,59443.4476923125,2576.39481313586
,63,70,67,-1,0,68,110010014022,874,38,836,333635.226526,5107.77095992,867,38,829,330828.451749,0.99158729,false,8,4,Ward 4,25130.9943982,23314921.9682,271384,0.82031602,711,680,31,0.04360056,271384.388989875,4332.37873264096
,64,71,68,-1,0,69,110010014023,1557,420,1137,177116.983787,2796.19846234,1270,342,927,144431.530214,0.81545839,false,7,3,Ward 3,28342.1673132,28320779.7089,144432,1,1270,927,342,0.26929134,144431.521107844,2796.19865925816
,65,72,69,-1,0,70,110010015001,1654,51,1603,834116.766326,7692.48264374,1654,51,1603,834116.692261,0.99999991,false,8,4,Ward 4,25130.9943982,23314921.9682,834115,1,1654,1603,51,0.03083434,834114.613947883,7692.47322198363
,66,73,70,-1,0,71,110010015002,1139,55,1084,289793.380719,3362.55205118,1083,52,1030,275443.496132,0.95048236,false,8,4,Ward 4,25130.9943982,23314921.9682,275440,1,1083,1030,52,0.04801477,275440.407785766,3362.46977282185
,67,74,71,-1,0,72,110010015003,717,17,700,284979.142886,2404.42388987,717,17,700,284979.138323,0.99999998,false,8,4,Ward 4,25130.9943982,23314921.9682,284979,1,717,700,17,0.0237099,284979.151744992,2404.42399676375
,68,75,72,-1,0,73,110010015004,1645,91,1554,570259.973338,4445.86993794,1645,91,1554,570259.988122,1.00000003,false,8,4,Ward 4,25130.9943982,23314921.9682,570266,1,1645,1554,91,0.05531915,570265.664066219,4445.78520108714
,69,76,73,-1,0,74,110010015005,975,0,975,320343.625216,2362.35299173,975,0,975,320343.625429,1,false,8,4,Ward 4,25130.9943982,23314921.9682,320323,1,975,975,0,0,320323.058686055,2361.92383543091
,70,77,74,-1,0,75,110010016001,1191,71,1120,451499.44203,3878.61465563,1191,71,1120,451499.452113,1.00000002,false,8,4,Ward 4,25130.9943982,23314921.9682,451499,1,1191,1120,71,0.05961377,451499.438210445,3878.61466519924
,71,78,75,-1,0,76,110010016002,606,62,544,192218.254228,2372.36300988,606,62,544,192218.256,1.00000001,false,8,4,Ward 4,25130.9943982,23314921.9682,192218,1,606,544,62,0.10231023,192218.272556148,2372.36116021898
,72,79,76,-1,0,77,110010016003,669,12,657,354859.587426,2812.04636374,669,12,657,354859.591981,1.00000001,false,8,4,Ward 4,25130.9943982,23314921.9682,354860,1,669,657,12,0.01793722,354859.571623797,2812.0464260965
,73,80,77,-1,0,78,110010016004,1682,86,1596,875665.647356,8862.45849529,1405,72,1333,731490.545391,0.83535371,false,8,4,Ward 4,25130.9943982,23314921.9682,731492,1,1405,1333,72,0.05124555,731492.177904453,8862.38231051747
,74,81,78,-1,0,79,110010017021,1620,237,1383,400832.136662,2752.49628355,771,113,658,190731.49038,0.47583882,false,8,4,Ward 4,25130.9943982,23314921.9682,190731,1,771,658,113,0.1465629,190731.502653766,2752.49605284154
,75,82,79,-1,0,80,110010017022,1429,295,1134,508409.967283,4057.7452514,1426,294,1132,507462.708882,0.99813682,false,8,4,Ward 4,25130.9943982,23314921.9682,507449,1,1426,1132,294,0.20617111,507448.458246547,4057.50233988745
,76,83,80,-1,0,81,110010018031,1350,440,910,197652.624258,2995.16999892,989,322,667,144790.72603,0.7325515,false,8,4,Ward 4,25130.9943982,23314921.9682,144791,1,989,667,322,0.3255814,144790.749823203,2995.17020595298
,77,84,81,-1,0,82,110010018032,2692,1151,1541,140519.59242,1645.52260706,1605,686,919,83768.817668,0.59613621,false,8,4,Ward 4,25130.9943982,23314921.9682,83768.796875,1,1605,919,686,0.42741433,83768.8165242109,1645.5227459891
,78,85,82,-1,0,83,110010018041,1091,318,773,162160.926592,593.41552415,60,18,43,8988.33261359,0.05542847,false,8,4,Ward 4,25130.9943982,23314921.9682,8988.33007813,1,60,43,18,0.30000001,8988.34579579687,593.415618520209
,79,86,83,-1,0,85,110010018043,2674,1048,1626,165237.985556,567.14501757,320,125,194,19752.9931732,0.11954269,false,8,4,Ward 4,25130.9943982,23314921.9682,19753,1,320,194,125,0.390625,19752.9554241328,567.142005144079
,80,87,84,-1,0,86,110010019011,1117,411,706,219928.171373,909.75078191,58,21,37,11398.0095155,0.05182606,false,8,4,Ward 4,25130.9943982,23314921.9682,11398,1,58,37,21,0.36206895,11397.9886548906,909.750808603638
,81,88,85,-1,0,87,110010019012,987,248,739,158776.9143,780.92864903,165,41,123,26478.8584727,0.16676769,false,8,4,Ward 4,25130.9943982,23314921.9682,26478.90039063,1,165,123,41,0.24848485,26478.8501380391,780.928637698754
,82,89,86,-1,0,88,110010019013,1095,250,845,173116.716476,910.98564234,301,69,232,47519.8060399,0.27449577,false,8,4,Ward 4,25130.9943982,23314921.9682,47519.80078125,1,301,232,69,0.22923589,47519.8137231484,910.985741917726
,83,90,87,-1,0,89,110010019014,798,59,739,189836.829942,218.52164471,9,1,8,2055.49302505,0.01082768,false,8,4,Ward 4,25130.9943982,23314921.9682,2055.48999023,1,9,8,1,0.11111111,2055.49169917188,218.521677785186
,84,91,88,-1,0,90,110010019021,1497,260,1237,344343.466256,4363.05382359,1496,260,1236,344148.517489,0.99943385,false,8,4,Ward 4,25130.9943982,23314921.9682,344149,1,1496,1236,260,0.17379679,344148.517301211,4363.05361687361
,85,92,89,-1,0,91,110010019022,834,143,691,393509.330319,3745.93602898,811,139,672,382580.509808,0.97222729,false,8,4,Ward 4,25130.9943982,23314921.9682,382581,1,811,672,139,0.17139333,382580.524890633,3745.93619446665
,86,93,90,-1,0,92,110010020011,1435,644,791,134376.359138,170.58160012,8,3,4,708.68866308,0.00527391,false,8,4,Ward 4,25130.9943982,23314921.9682,708.68902588,1,8,4,3,0.375,708.686346476562,170.581588202771
,87,94,91,-1,0,93,110010020012,1413,174,1239,341260.764702,2967.26630032,1061,131,931,256348.973118,0.75118209,false,8,4,Ward 4,25130.9943982,23314921.9682,256349,1,1061,931,131,0.12346843,256348.989101836,2967.2660740092
,88,95,92,-1,0,94,110010020021,1074,70,1004,342018.54113,3537.09617279,960,63,898,305810.224115,0.89413347,false,8,4,Ward 4,25130.9943982,23314921.9682,305810,1,960,898,63,0.065625,305810.233875813,3537.09610217808
,89,96,93,-1,0,95,110010020022,1508,726,782,141528.272963,87.78614372,2,1,1,210.77185202,0.00148926,false,8,4,Ward 4,25130.9943982,23314921.9682,210.77200317,1,2,1,1,0.5,210.772287445312,87.7862342946079
,90,97,94,-1,0,96,110010020023,1309,178,1131,357377.469948,2877.51063981,1219,166,1053,332858.832728,0.93139288,false,8,4,Ward 4,25130.9943982,23314921.9682,332859,1,1219,1053,166,0.1361772,332858.812646531,2877.51046975236
,91,98,95,-1,0,97,110010021011,1563,269,1294,142702.87411,805.37344232,172,30,142,15686.4652329,0.10992396,false,8,4,Ward 4,25130.9943982,23314921.9682,15686.5,1,172,142,30,0.1744186,15686.4686021641,805.373461412934
