the_geom,cartodb_id,objectid,geoid_1,geoid2,intptlon,intptlat,funcstat,mtfcc,namelsad,geoid,blkgrpce,tractce,countyfp,statefp,shape_area,shape_leng,area,percent_no,median_hou,p_cars_5p,p_cars_4,p_cars_3,p_cars_2,p_cars_1,cars_5p,cars_4,cars_3,cars_2,cars_1,no_cars,renter_5p_,renter_4_c,renter_3_c,renter_2_c,renter_1_c,renter_no_,renters,owner_5p_c,owner_4_ca,owner_3_ca,owner_2_ca,owner_1_ca,owner_no_c,owners,total_pop_,awater,aland
0106000020E61000000100000001030000000100000028000000E014562AA83E53C06025581CCE6E43401C0B98C0AD3E53C0B09DD32CD06E434060EFFE78AF3E53C04852D2C3D06E43404779E6E5B03E53C0570F0A4AD16E43407CA7C98CB73E53C0E8E104A6D36E4340988F6B43C53E53C070E179A9D86E4340D47A8670CC3E53C098929048DB6E4340D4DA34B6D73E53C0778BC058DF6E4340DB8FA2CEDC3E53C010A1832EE16E4340A0F8F884EC3E53C0D84CBED9E66E4340383E93FDF33E53C038ED629AE96E4340489D47C5FF3E53C010CDE7DCED6E434054742497FF3E53C04879AD84EE6E4340A0116C5CFF3E53C0B8A90F24EF6E434030751E15FF3E53C0A8E2AAB2EF6E4340FC5C6DC5FE3E53C09F9FE238F06E4340ECC8586DFE3E53C0106553AEF06E43408803E8F7FD3E53C048A6272CF16E43402BE57CB1F73E53C06017D34CF76E43406CCD565EF23E53C067F56393FC6E4340E40C535BEA3E53C010F83592046F4340606A4B1DE43E53C0E860A8C30A6F4340F4D170CADC3E53C0BF438A01126F4340CCB56801DA3E53C028E42EC2146F43409CAC510FD13E53C058ED45B41D6F434058F10D85CF3E53C038A0504F1F6F4340149337C0CC3E53C0F8B31F29226F43402CBFD364C63E53C0F8B31F29226F434013B14F00C53E53C0F8B31F29226F4340C8AFE600C13E53C0D82F8331226F43406465FB90B73E53C03838BC20226F43404CA9D903AD3E53C0F8B31F29226F434088E3F90CA83E53C098ABE639226F4340A025C808A83E53C05F778192026F4340A025C808A83E53C0288C6665FB6E4340585F5D15A83E53C0A74A3FE1EC6E434070A12B11A83E53C048AA9A20EA6E4340A025C808A83E53C088053065E06E4340A025C808A83E53C06FB1A206D36E4340E014562AA83E53C06025581CCE6E4340,1,1,110010076053,1500000US110010076053,-76.9809626,38.8670199,S,G5030,Block Group 3,110010076053,3,7605,1,11,8.71655e-06,0.01374917079,0.0324219,85.7678,14201,0,0,1.0719754977,0,4.74732006126,0,0,7,0,31,229,0,0,0,0,26,209,235,0,0,7,0,5,20,32,267,0,83980
0106000020E6100000010000000103000000010000003C000000E0DE14DD243C53C0E856F8A125724340FF56B263233C53C0B0C8E880247243408069183E223C53C020C2A38D23724340EF39B01C213C53C0B73FFB9122724340C3F484251E3C53C0589F56D11F724340408D7BF31B3C53C02840868E1D724340C0B986191A3C53C078BFD18E1B724340D081E508193C53C0985E0D501A724340B88D06F0163C53C050295AB9177243404091EEE7143C53C0AF04190115724340D40E46EC133C53C088B4C6A0137243404C4ACFF4123C53C0C86CAD2F1272434004FB7612113C53C088E5B33C0F72434040709527103C53C010A6D3BA0D7243405CA3E5400F3C53C0D0EA8F300C72434034014D840D3C53C0D800DE0209724340F82B64AE0C3C53C0004ED36707724340A014ADDC0B3C53C080A301BC05724340D8A3703D0A3C53C0305FD04202724340684AEB6F093C53C0A0490D6D007243408C1150E1083C53C0D86CE525FF714340886EBDA6073C53C060F65D11FC7143406F4694F6063C53C0885CFE43FA7143405C0FED63053C53C060C6866EF671434010035DFB023C53C0489352D0ED7143403CBB438A013C53C0882AE09EE7714340CF687231063C53C0E89D0AB8E77143403725E7C41E3C53C0C8196EC0E771434034E675C4213C53C010B7B585E771434068A510C8253C53C0BF0AF0DDE6714340588FC2F5283C53C0E8D1544FE6714340A4E15B58373C53C070F3380CE67143405460C8EA563C53C0E8666325E6714340B0BC132C713C53C048271616E671434020DDD54B713C53C080CCAA26E6714340C4A8A049713C53C0C8BF3E4AFC714340A44A7B04763C53C04884D027E6714340BB5532BA8D3C53C0800A712DE671434038CCA5C99B3C53C0707ADB3AE6714340E8883FC89B3C53C0D8F729F3F47143402CEC8BC79B3C53C018465B54FC71434013F72E0E973C53C0600D73B403724340509F8555923C53C0700458B30372434070BC259C8D3C53C068B86C130B724340BC5F7A0D973C53C08051A4150B724340A03956C39B3C53C050B4829B2872434060E0406F7F3C53C0AFBAD29428724340D8A792B67A3C53C0770EB09328724340FF64BD43713C53C01870C8533772434030FB0043713C53C00090F9B43E724340D8BBCB40713C53C008D28CD854724340F880AF16633C53C0487712D554724340E8D96E17633C53C0D866E1734D724340D0D617EE543C53C09F3A280F46724340D4012AF4543C53C070E49E050B7243403042E81E633C53C000B4F5A70372434048F2423C503C53C0083B3DA30372434014B97238503C53C0304D33892872434020B57102213C53C0000ACA1B21724340E0DE14DD243C53C0E856F8A125724340,19,19,110010096031,1500000US110010096031,-76.9434021,38.8914068,S,G5030,Block Group 1,110010096031,1,9603,1,11,1.833766e-05,0.03047073249,0.0681858,42.2104,42520,0,0,0,22.8177641654,43.6447166922,0,0,0,149,285,317,0,0,0,80,261,292,633,0,0,0,69,24,25,118,751,0,255929
0106000020E61000000100000001030000000100000021000000A8363811FD3C53C0A0258FA7E5714340F0C8586DFE3C53C080B74082E2714340FCB1101D023D53C0170264E8D8714340E80E62670A3D53C05F401361C3714340D07EA4880C3D53C0E87745F0BF714340306D382C0D3D53C09051103CBE714340A874779D0D3D53C0706CAF05BD714340109E094D123D53C0506A6803B071434080807C09153D53C068CA4E3FA8714340AC9C84D2173D53C0B8AED172A0714340381E3350193D53C030BEDA519C71434030293E3E213D53C0C7478B3386714340F0056685223D53C07898689082714340889125732C3D53C078986890827143400BEE073C303D53C0B01C05888271434054F96530463D53C038A9DA6E82714340DCA337DC473D53C0F8243E77827143406CCF2C09503D53C07898689082714340B80B9414583D53C05014CC988271434018B3EC49603D53C078986890827143407B2A6EDC623D53C05014CC98827143400C1EA67D733D53C0E8FC14C781714340644CC11A673D53C04829CC7B9C714340C88844A1653D53C018B3976DA7714340C46169E0473D53C0388A73D4D1714340A8E80FCD3C3D53C0002B6B9BE2714340473D44A33B3D53C0B8C4CA68E4714340F0E2C4573B3D53C0D0FB71FBE57143402C2C7FBE2D3D53C01899B9C0E5714340786A2E37183D53C01F477364E5714340ECD6C056093D53C098BA9D7DE57143409820EA3E003D53C0D8A92B9FE5714340A8363811FD3C53C0A0258FA7E5714340,29,29,110010077081,1500000US110010077081,-76.9564409,38.8882399,S,G5030,Block Group 1,110010077081,1,7708,1,11,1.36208e-05,0.01721682591,0.0506488,82.9225,25333,0,2.75650842266,0,3.36906584992,8.72894333844,0,18,0,22,57,471,0,0,0,17,41,452,510,0,18,0,5,16,19,58,568,0,131192
0106000020E610000001000000010300000001000000A5000000F076BD34453E53C08F29CAA5F16B4340147920B2483E53C098D78349F16B434084156EF9483E53C0EF9CF4BEF16B4340643F8BA5483E53C068626534F26B43407C9BFEEC473E53C0B8791C06F36B434054AB764D483E53C02091D3D7F36B43405491D101493E53C08FF57F0EF36B4340D76FED44493E53C020300F99F26B4340584E0988493E53C0E88349F1F16B43408024ECDB493E53C098D78349F16B434088B800344A3E53C0A0853DEDF06B43403844DC9C4A3E53C0C89EE8BAF06B43403C0114234B3E53C0A833F790F06B4340FCF7E0B54B3E53C04FD97745F06B43402762D8614C3E53C0F87EF8F9EF6B434058B22AC24D3E53C0E03D247CEF6B434074978BF84E3E53C090915ED4EE6B4340B84351A04F3E53C03737DF88EE6B4340D86B7A50503E53C0C058C345EE6B434008D671FC503E53C0E0716E13EE6B4340B047A819523E53C0D0B4368DED6B4340CF2C0950533E53C05884D4EDEC6B4340D0E940D6533E53C040AEF199EC6B43401C6DE34F543E53C0485CAB3DEC6B43409F7422C1543E53C0788E01D9EB6B4340B8732843553E53C0803CBB7CEB6B43401457957D573E53C058EC681CEA6B434030569BFF573E53C0689A22C0E96B43401CD1048A583E53C0D0501553E96B4340C8850321593E53C018836BEEE86B434034AB3E575B3E53C0E0E0D231E76B4340A01342075D3E53C050DA8D3EE66B4340EC96E4805D3E53C0588847E2E56B4340649E23F25D3E53C0C73E3A75E56B43408C7406465E3E53C090FD65F7E46B434000CE8B135F3E53C0A80793E2E36B4340301EDE73603E53C0E8BF7971E26B434034B2F2CB603E53C050766C04E26B4340F365F7E4613E53C05858703FE06B4340602B685A623E53C0A8A371A8DF6B4340D85BCAF9623E53C0981057CEDE6B434028DF6C73633E53C0EF0912DBDD6B4340307381CB633E53C04803CDE7DC6B434008AC1C5A643E53C090FE7BF0DA6B43405C069CA5643E53C000632827DA6B4340649AB0FD643E53C050433866D96B4340DCA1EF6E653E53C0408600E0D86B434018E3C3EC653E53C04834BA83D86B4340644CC11A673E53C0F887F4DBD76B434064321CCF673E53C0F81C03B2D76B4340DC627E6E683E53C058253CA1D76B4340B09B19FD683E53C0C09866BAD76B434030A3586E693E53C0F887F4DBD76B4340F413950D6B3E53C09066101FD86B4340C49E76F86B3E53C0305ED72FD86B434058A5BBEB6C3E53C0704D6551D86B4340C82764E76D3E53C04834BA83D86B4340689DF17D713E53C07F758E01D96B4340587825C9733E53C098E07F2BD96B43400CD0B69A753E53C098E07F2BD96B434018210379763E53C038D8463CD96B4340CC691668773E53C078C7D45DD96B4340447155D9773E53C078C7D45DD96B434038ECBE63783E53C0F03AFF76D96B4340F8E28BF6783E53C0B0B6627FD96B43406FF9484A7A3E53C0B0B6627FD96B43404432E4D87A3E53C09032C687D96B4340ECBDBF417B3E53C0909DB7B1D96B4340ECA31AF67B3E53C0A0C5E061DA6B43406CAB59677C3E53C0D89BC3B5DA6B4340D347A7AE7C3E53C068A208A9DB6B43402CA226FA7C3E53C090FE7BF0DA6B434038363B527D3E53C037A4FCA4DA6B4340704EECA17D3E53C068D65240DA6B43405044BFB67E3E53C018BF9B6ED96B4340283A92CB7F3E53C0609FABADD86B4340EC073C30803E53C0A83CF372D86B43408451499D803E53C050E27327D86B4340A8E46377813E53C00036AE7FD76B434070B20DDC813E53C04868041BD76B4340F84D61A5823E53C03840DB6AD66B4340BC1B0B0A833E53C080DD2230D66B434064A7E672833E53C0600740DCD56B43402C7590D7833E53C070B5F97FD56B434090205C01853E53C0E85C6E30D46B43407C677BF4863E53C0408A73D4D16B4340640B08AD873E53C0381004C8D06B4340A023B9FC873E53C02853CC41D06B434008C00644883E53C02F9694BBCF6B4340D4648D7A883E53C020D95C35CF6B4340FC3A70CE883E53C078672618CE6B4340D821C500893E53C080AAEE91CD6B434090847D3B893E53C048691A14CD6B434020CE8AA8893E53C0607347FFCB6B434030629F008A3E53C058F9D7F2CA6B43403CCD902A8A3E53C0B087A1D5C96B4340AC40BB438A3E53C0D091CEC0C86B43407CBC1E4C8A3E53C080E50819C86B43407CBC1E4C8A3E53C048394371C76B434038F6B3588A3E53C0988444DAC66B434064A3737E8A3E53C02854E23AC66B43403048FAB48A3E53C0B023809BC56B4340AC2616F88A3E53C0A0664815C56B4340DC900DA48B3E53C038E49F19C46B4340901CE90C8C3E53C0E01E2FA4C36B434038A8C4758C3E53C0E8CCE847C36B4340D0F1D1E28C3E53C0B0F605F4C26B434034B742588D3E53C0789C86A8C26B43401884F23E8E3E53C0405BB22AC26B43404CC5C6BC8E3E53C05F745DF8C16B43407B069B3A8F3E53C0E80033DFC16B4340000EDAAB8F3E53C00885CFD6C16B434064D34A21903E53C0A87C96E7C16B434078FB73D1903E53C0E052793BC26B4340F402B342913E53C0789C86A8C26B43408C4CC0AF913E53C0B0F605F4C26B4340DC8C9AAF923E53C088C4AF58C36B4340A45A4414933E53C0C7B33D7AC36B4340547A34D5933E53C09F9A92ACC36B43403C139A24963E53C0B057CA32C46B4340F318E599973E53C0889065C1C46B4340F3FE3F4E983E53C03F5E0F26C56B4340E45086AA983E53C098B88E71C56B43400C2769FE983E53C0B08E71C5C56B4340E05F048D993E53C0402AC58EC66B43404CFC51D4993E53C0B0EF3504C76B434050B9895A9A3E53C040F67AF7C76B4340CCC0C8CB9A3E53C028EC4D0CC96B4340C0120F289B3E53C008E22021CA6B4340E4A529029C3E53C080492A53CC6B4340CC8C7E349C3E53C04F82C5E1CC6B434008A52F849C3E53C0387898F6CD6B434088834BC79C3E53C088245E9ECE6B43409817601F9D3E53C0F854C03DCF6B434028616D8C9D3E53C0077DE9EDCF6B43402C1EA5129E3E53C0F82076A6D06B434014C231CB9E3E53C008499F56D16B4340CCE1218C9F3E53C0B8FD9DEDD16B434098AFCBF09F3E53C058605628D26B4340F49D5F94A03E53C078CB4752D26B43408410902FA13E53C0B04FE449D26B434040075DC2A13E53C02071C806D26B434060DD3F16A23E53C088BCC96FD16B434088B3226AA23E53C05894A0BFD06B434064601BCFA83E53C0280C1A8CE76B434000575C5BA33E53C07089998BE76B43402043145BA33E53C058C6CEECEE6B4340A8327724533E53C060601508056C434018517324533E53C010F2C65A056C434053A703594F3E53C098FF7403056C4340A0E029E44A3E53C0B0C6D974046C43406C218FE0463E53C0781A14CD036C4340D782DE1B433E53C048F2EA1C036C434008556AF6403E53C017462575026C434078E2395B403E53C060E36C3A026C434054E333D93F3E53C0A080B4FF016C434064D4B5F63E3E53C0A8C37C79016C434068826F9A3E3E53C05069FD2D016C434064EE5A423E3E53C037931ADA006C4340BB5301F73C3E53C05F4B0169FF6B4340947D1EA33C3E53C0A07D5704FF6B4340D08AA8893E3E53C02872C119FC6B4340DBDBF4673F3E53C000226FB9FA6B434090882991443E53C0C027D6A9F26B4340F076BD34453E53C08F29CAA5F16B4340,18,18,110010074093,1500000US110010074093,-76.9773289,38.8440648,S,G5030,Block Group 3,110010074093,3,7409,1,11,6.18865e-06,0.01500120154,0.0230271,59.4595,34135,0,0,0,8.57580398162,30.4747320061,0,0,0,56,199,374,0,0,0,56,199,374,629,0,0,0,0,0,0,0,629,0,155846
0106000020E6100000010000000103000000010000003B000000C0CAA145B64053C0A04F1DAB947A4340AC58FCA6B04053C0E0D3B9A2947A43408C6CE7FBA94053C0E0D3B9A2947A4340D011F92EA54053C00058569A947A43403464CA87A04053C0E0D3B9A2947A43405C33F9669B4053C00058569A947A4340D8338463964053C0E0D3B9A2947A4340F0C34142944053C00058569A947A43402048DE39944053C0D0B6D3D6887A4340F0DDE68D934053C07891B41B7D7A4340A8DBF5B4934053C028759951767A434068787F739C4053C028EB4251767A434088A9DBB8974053C0B85C44A9427A4340BBC91EE6A54053C0A04EAAA8427A4340187EA02CA14053C06042366B517A4340E8328713B44053C0C80B2E094A7A43405C0DF212B44053C0D8BB7F842C7A4340576A7DB8974053C0C097C1852C7A43405457E0B7974053C0B837E79F077A4340BC83EC43944053C0E8D408A0077A4340D8817346944053C0201538D9067A4340A4FDD64E944053C0E0291DACFF794340D8817346944053C000FDA204FD794340D8817346944053C0507CEE04FB79434050CC7A31944053C0DFF6E80DF77943409892E524944053C0A0F8DC09F6794340F49A1E14944053C0C7F38B12F4794340148BA6B3934053C02086C8E9EB794340D89B1892934053C0B0BDFA78E8794340B8347EE1954053C010C63368E8794340FC2AC0779B4053C090E71725E8794340B8B585E7A54053C0403B527DE7794340345CE49EAE4053C010FA7DFFE67943407C08AA46AF4053C07002B7EEE679434010BD8C62B94053C07FC91B60E679434060B2B8FFC84053C0F8C2D66CE5794340642101A3CB4053C018DC813AE5794340C7DFBDA3C64053C0279B00C3F2794340441FBAA0BE4053C080E92631087A4340E84ACB48BD4053C0F84960730E7A4340B0321AF9BC4053C050709527107A434040BFEFDFBC4053C0F7E1CB44117A4340F8F884ECBC4053C0D86F0A2B157A43402B3A596ABD4053C07865A549297A434058E71890BD4053C0BF32C4B12E7A4340F8DEDFA0BD4053C0C80DF8FC307A43402CF790F0BD4053C030793C2D3F7A4340408BA548BE4053C0A8E4805D4D7A434057CD7344BE4053C01880D4264E7A434057CD7344BE4053C030D5777E517A434057CD7344BE4053C0480F7C0C567A43408451103CBE4053C0F8F6AE415F7A4340408BA548BE4053C088F2B0506B7A4340408BA548BE4053C080DFBF79717A43402749D74CBE4053C0D8D1AA96747A43402749D74CBE4053C060342BDB877A434010070951BE4053C0E854F99E917A43402749D74CBE4053C0E0D3B9A2947A4340C0CAA145B64053C0A04F1DAB947A4340,36,36,110010021022,1500000US110010021022,-77.010369,38.9549517,S,G5030,Block Group 2,110010021022,2,2102,1,11,1.150391e-05,0.02218769115,0.0427377,44.5026,33571,0,0,0,3.36906584992,29.0964777948,0,0,0,22,190,170,0,0,0,0,96,112,208,0,0,0,22,94,58,174,382,0,134487
0103000020E61000000100000026000000000000FC763D53C08C0DD88FD4724340000000FC763D53C08705C5F61873434000000086743D53C0E6AB939631734340000000166C3D53C08D6DFFE33A7343400000008E4E3D53C0D7EC7DBD44734340000000804D3D53C0929B04455C734340FFFFFF554A3D53C01671126263734340000000822D3D53C08605E94962734340000000662B3D53C08443D45C40734340000000E01A3D53C0A104BFD03F7343400000004C093D53C082F369A03D734340FFFFFF61E43C53C0EBBB054F8573434000000044D53C53C0235ED81EA0734340000000F4E83C53C0F615B823C373434000000012F83C53C0FBB310C3DB7343400000003CFB3C53C05E91629CE573434000000058FD3C53C03CC545D6F3734340000000A4FC3C53C0ED717ECC0474434000000088FA3C53C07C1A0DD610744340000000AAF63C53C03FD585531C744340000000BEF13C53C0525EA21425744340000000B6EA3C53C095D32F752974434000000046E23C53C0B3F687312C74434000000098DB3C53C0D69099BD2C74434000000044D53C53C07D2C1EE9287443400000007ACC3C53C06BC9F09B1F74434000000034C73C53C0B103AFC215744340000000BEC43C53C02E93EB1408744340000000EEC13C53C0A9E3C6AAF7734340FFFFFF69BE3C53C0BEE154B9EC734340000000CAB83C53C06F6B9497DF73434000000076B23C53C07CFD1AA6D4734340000000F6C83C53C09BA77E97887343400000006E053D53C033DC7B792A73434000000014053D53C05B79D394DA724340000000EE483D53C0CD9833C0D672434000000094483D53C0EC523CB1C4724340000000FC763D53C08C0DD88FD4724340,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0103000020E61000000100000009000000FFFFFFF37D3E53C0A1FFD1EE696F43400000008C223E53C0F7300C2FC96F4340000000185A3E53C04B56748BFB6F434000000038763E53C0311751C9F26F4340000000C0933E53C0B5E168A8CE6F43400000004C9E3E53C0E247503CBE6F4340000000C89A3E53C079EC62774D6F4340000000A87E3E53C0DDDACA9C436F4340FFFFFFF37D3E53C0A1FFD1EE696F4340,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0103000020E6100000010000000D000000000000E2F44253C071841A07A07243400000005AAA4253C0812B15029A724340000000A6A94253C0180C769AFD724340FFFFFF7DB34253C036508C26FE724340000000B8C44253C0A56F3DF1F572434000000012C54253C07E018FF0D87243400000000CCB4253C076A410D9F4724340000000ECDB4253C032326A09F772434000000046DC4253C047D6A57CD9724340FFFFFF19F94253C07E018FF0D8724340FFFFFF19F94253C0291B8246B4724340FFFFFF19F94253C015305129AD724340000000E2F44253C071841A07A0724340,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0106000020E6100000010000000103000000010000004B00000044FB58C16F3B53C00875CAA31B7143401C25766D6F3B53C06880608E1E714340043197546D3B53C0D85E44DB3171434088A06AF46A3B53C0605930F147714340785A457F683B53C007BF0D315E71434040908312663B53C02046CF2D747143408C2DCBD7653B53C0084B2025767143400878D2C2653B53C020DE3AFF767143408010C990633B53C0009B3A8F8A714340403BE0BA623B53C0785C38109271434013C26A2C613B53C03022FC8BA071434080ACA7565F3B53C09025AC8DB1714340C3B5DAC35E3B53C0389012BBB67143406C5B5B785E3B53C04041295AB9714340E0E82ADD5D3B53C038C34659BF714340E4F351465C3B53C03049D74CBE714340E08409A3593B53C020C0E95DBC714340DCFB1BB4573B53C0208942CBBA714340A8EE91CD553B53C0A0DE701FB971434017D9CEF7533B53C0A8C0745AB7714340340C1F11533B53C0E035936FB671434060ED28CE513B53C08061A417B57143403CEE224C513B53C0A8280989B47143401B4C8A8F4F3B53C0F8A75489B2714340AFE386DF4D3B53C0E8B37570B0714340B03176C24B3B53C0488F34B8AD714340006075E4483B53C0C0F083F3A97143404C56D3F5443B53C07823658BA4714340D047E00F3F3B53C010A52F849C714340C8B3CBB73E3B53C0785B22179C714340003411363C3B53C080067FBF987143406056EF703B3B53C0788C0FB397714340747764AC363B53C0C8A7397991714340CBF6AFAC343B53C0206A4DF38E71434098F8A3A8333B53C0370989B48D714340B0886187313B53C0D0BA2A508B714340646D533C2E3B53C08076F9D68771434067BB421F2C3B53C070821ABE85714340C4116BF1293B53C0588E3BA58371434050EC2FBB273B53C08889EAAD8171434000D578E9263B53C038DD24068171434053F75624263B53C0C8ACC26680714340945DF756243B53C0285437177F714340D89A745B223B53C0C87F48BF7D714340A87E6C921F3B53C0486A85E97B7143404CC422861D3B53C04809C1AA7A714340580394861A3B53C0E8C9E02879714340780DC171193B53C05080D3BB787143407CB053AC1A3B53C0082219726C714340ECEF332E1C3B53C0780D6C95607143402C08E57D1C3B53C0787500C45D71434068C328081E3B53C0409DD66D50714340AC6FEEAF1E3B53C0679F55664A714340E01CAED51E3B53C060BAF42F49714340D4F7E120213B53C000BE141E3471434050880E81233B53C0B0B2B6291E714340709692E5243B53C068E90AB6117143407CE7DEC3253B53C0709B374E0A714340A4BDC117263B53C0C8F2599E0771434060CAC0012D3B53C09FF7AA9509714340E41725E82F3B53C0709B374E0A714340FCF8122A383B53C0A0FA07910C714340D0AF743E3C3B53C020E8A1B60D71434033AC70CB473B53C078DA8CD31071434094805F23493B53C038A8363811714340EBA694D74A3B53C0A86DA7AD1171434078E57ADB4C3B53C0A02ADF3312714340C4681D554D3B53C0189E094D127143406055BDFC4E3B53C070637AC212714340982AA6D24F3B53C0684ACFF41271434084D5E6FF553B53C048FDD98F14714340E40DF7915B3B53C080B81D1A167143409838F240643B53C0709351651871434090BD6C3B6D3B53C0F84CA1F31A71434044FB58C16F3B53C00875CAA31B714340,53,53,110010099051,1500000US110010099051,-76.9261399,38.8854844,S,G5030,Block Group 1,110010099051,1,9905,1,11,1.930765e-05,0.01791902247,0.0717979,49.0783,39643,0,0,0,12.8637059724,20.9800918836,0,0,0,84,137,213,0,0,0,0,82,196,278,0,0,0,84,55,17,156,434,0,185975
0106000020E6100000010000000103000000010000002D00000088E3F90CA83E53C098ABE639226F434070A12B11A83E53C090C56F0A2B6F434070A12B11A83E53C0C866F2CD366F4340FC2D01F8A73E53C000B62E35426F4340CCA96400A83E53C0A07C08AA466F4340A025C808A83E53C0E064C6DB4A6F434070A12B11A83E53C00081CEA44D6F4340401D8F19A83E53C0F0137992746F4340B8679604A83E53C058AA0B78996F434070A12B11A83E53C0E03E8F519E6F4340585F5D15A83E53C0E00A45BA9F6F434070A12B11A83E53C0F8297288B86F434028DBC01DA83E53C088DE701FB96F4340984EEB36A83E53C0B8718BF9B96F43408C770E65A83E53C0470DDFC2BA6F434044DAC69FA83E53C0D0A8328CBB6F4340F05EEE93A33E53C0388FFCC1C06F43408F74696D9B3E53C0288F7A9CC86F4340B4DC7454903E53C0C049D509BD6F4340AC07A555903E53C030CB09859F6F43407411657E9E3E53C0387D9AE7A66F4340FC4AF77E9E3E53C050AA3425986F43401B12F155903E53C0A8DFD623986F43409C3A2157903E53C0F8010B9F7A6F4340BB5FB738A33E53C00053A73F736F434074446D57903E53C0B0FED73D736F434020BE84C9993E53C0D05DC3584E6F43407C6A9D58903E53C038C20BB9556F4340C47C3559903E53C08087A5F6466F4340683264E7863E53C0E017817A646F4340F09F132F823E53C0C064067A646F4340ACA8C42E823E53C0387139DB6B6F4340641C73767D3E53C05837BDDA6B6F4340D33B65BF783E53C0182973554E6F4340C07B4F30823E53C070033AF5466F43402C7D83DE653E53C037C639F2466F4340B46B15506F3E53C0F87BA6CF306F4340B8F281DF653E53C0504DA0CE306F43408B6325E0653E53C068133B96226F4340087B1343723E53C06879909E226F4340FC3A70CE883E53C090923B6C226F43403B65FCFB8C3E53C0F09A745B226F434010329067973E53C078274A42226F4340D38B683BA63E53C078274A42226F434088E3F90CA83E53C098ABE639226F4340,58,58,110010076013,1500000US110010076013,-76.9771395,38.8704718,S,G5030,Block Group 3,110010076013,3,7601,1,11,1.006721e-05,0.02611981491,0.0374442,47.496,40848,0,5.81929555896,2.29709035222,12.2511485452,29.4027565084,0,38,15,80,192,294,0,0,0,11,63,263,337,0,38,15,69,129,31,282,619,0,170685
